PPV,Person,Distance
19,1013,1.68
19,1014,2.89
2,1015,1.51
0,1016,4.84
31,1017,2.2
40,1018,2.21
0,1019,2.21
40,1020,0.32
97,1021,0.37
19,1022,2.12
71,1023,1.43
19,1024,1.84
97,1025,5.17
58,1026,1.9
2,1027,2.08
40,1028,0.79
70,1029,4.89
40,1030,2.1
58,1031,3.98
44,1032,7.54
31,1033,3.12
44,1034,1.1
40,1035,1.66
92,1036,1.08
0,1037,5.63
44,1038,6.25
31,1039,3.11
44,1040,5.4
44,1041,4.48
70,1042,3.24
40,1043,2.78
40,1044,1.89
0,1045,5.82
58,1046,1.12
0,1047,4.92
31,1048,4.99
31,1049,2.76
58,1050,3.43
19,1051,1.1
0,1052,6.38
40,1053,2.54
15,1054,3.22
58,1055,7.83
0,1056,2.57
40,1057,1.46
40,1058,1.41
15,1059,3.28
70,1060,3.16
0,1061,2.37
70,1062,4.47
40,1063,8.28
0,1064,4.76
58,1065,5.67
40,1066,5.77
0,1067,6.22
44,1068,4.79
58,1069,6.89
58,1070,4.04
58,1071,5.23
44,1072,6.6
44,1073,1.94
0,1074,5.24
58,1075,4.07
31,1076,4.42
19,1077,2.25
40,1078,6.19
40,1079,3.51
44,1080,5.89
44,1081,2.18
19,1082,6.16
31,1083,3.01
92,1084,3.55
31,1085,4.07
58,1086,3.44
44,1087,5.48
0,1088,6.01
39,1089,2.27
44,1090,2.41
2,1091,3.04
58,1092,6.13
0,1093,1.99
0,1094,4.09
40,1095,2.75
0,1096,5.55
44,1097,8.61
58,1098,2.52
19,1099,3.62
58,1100,6.22
2,1101,1.27
44,1102,7.61
40,1103,7.58
19,1104,1.47
0,1105,5.77
44,1106,2.91
97,1107,0.17
40,1108,1.03
58,1109,0.84
44,1110,5.15
40,1111,1.56
44,1112,6.69
19,1113,0.85
70,1114,2.77
58,1115,3.44
58,1116,5.23
58,1117,3.38
39,1118,3.29
40,1119,7.58
0,1120,4.85
58,1121,5.52
44,1122,6.7
0,1123,4.3
97,1124,1.51
44,1125,5.07
40,1126,0.81
0,1127,5.53
0,1128,4.87
71,1129,2.83
2,1130,4.17
40,1131,2.21
31,1132,7.07
40,1133,3.15
0,1134,3.7
40,1135,5.18
92,1136,1.82
